开始时间,持续时间,事件大类,事件类别,内容类型,事件内容,备注,Tag,状态
2017-04-09 18:30,120,未分类,工作,未分类,,,,已完成
2017-04-09 20:30,60,未分类,学习,未分类,Python,,,已完成
2017-04-09 21:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-09 22:00,60,未分类,学习,未分类,Python,,,已完成
2017-04-09 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-09 23:30,60,未分类,学习,未分类,,,,已完成
2017-04-10 00:30,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-10 02:00,330,未分类,睡觉,未分类,,,,已完成
2017-04-10 07:30,60,未分类,学习,未分类,,,,已完成
2017-04-10 08:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-10 09:00,120,未分类,学习,未分类,,,,已完成
2017-04-10 11:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-10 11:30,30,未分类,工作,未分类,,,,已完成
2017-04-10 12:00,60,未分类,运动,未分类,,,,已完成
2017-04-10 13:00,30,未分类,杂事,未分类,,,,已完成
2017-04-10 13:30,120,未分类,工作,未分类,,,,已完成
2017-04-10 15:30,120,未分类,杂事,未分类,,,,已完成
2017-04-10 17:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-10 18:00,30,未分类,杂事,未分类,,,,已完成
2017-04-10 18:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-10 19:00,30,未分类,学习,未分类,,,,已完成
2017-04-10 19:30,120,未分类,睡觉,未分类,,,,已完成
2017-04-10 21:30,90,未分类,学习,未分类,,,,已完成
2017-04-10 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-10 23:30,90,未分类,学习,未分类,,,,已完成
2017-04-11 01:00,90,未分类,阅读,未分类,,,,已完成
2017-04-11 02:30,270,未分类,睡觉,未分类,,,,已完成
2017-04-11 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-11 07:30,120,未分类,娱乐,未分类,看电影,,,已完成
2017-04-11 09:30,30,未分类,杂事,未分类,,,,已完成
2017-04-11 10:00,120,未分类,工作,未分类,,,,已完成
2017-04-11 12:00,120,未分类,杂事,未分类,,,,已完成
2017-04-11 14:00,30,未分类,学习,未分类,,,,已完成
2017-04-11 14:30,270,未分类,工作,未分类,,,,已完成
2017-04-11 19:00,60,未分类,学习,未分类,,,,已完成
2017-04-11 20:00,30,未分类,杂事,未分类,,,,已完成
2017-04-11 20:30,150,未分类,学习,未分类,,,,已完成
2017-04-11 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-11 23:30,30,未分类,学习,未分类,,,,已完成
2017-04-12 00:00,60,未分类,阅读,未分类,,,,已完成
2017-04-12 01:00,360,未分类,睡觉,未分类,,,,已完成
2017-04-12 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-12 07:30,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-12 09:00,150,未分类,学习,未分类,,,,已完成
2017-04-12 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-12 12:00,60,未分类,运动,未分类,,,,已完成
2017-04-12 13:00,30,未分类,工作,未分类,,,,已完成
2017-04-12 13:30,120,未分类,学习,未分类,,,,已完成
2017-04-12 15:30,90,未分类,工作,未分类,,,,已完成
2017-04-12 17:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-12 17:30,90,未分类,学习,未分类,Python,,,已完成
2017-04-12 19:00,30,未分类,浪费了,未分类,,,,已完成
2017-04-12 19:30,90,未分类,睡觉,未分类,,,,已完成
2017-04-12 21:00,120,未分类,学习,未分类,Python,,,已完成
2017-04-12 23:00,60,未分类,杂事,未分类,,,,已完成
2017-04-13 00:00,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-13 01:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-13 02:00,300,未分类,睡觉,未分类,,,,已完成
2017-04-13 07:00,30,未分类,学习,未分类,,,,已完成
2017-04-13 07:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-13 08:00,180,未分类,学习,未分类,,,,已完成
2017-04-13 11:00,30,未分类,娱乐,未分类,,,,已完成
2017-04-13 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-13 12:00,30,未分类,学习,未分类,,,,已完成
2017-04-13 12:30,90,未分类,睡觉,未分类,午睡,,,已完成
2017-04-13 14:00,30,未分类,工作,未分类,,,,已完成
2017-04-13 14:30,60,未分类,学习,未分类,,,,已完成
2017-04-13 15:30,30,未分类,学习,未分类,Python,,,已完成
2017-04-13 16:00,30,未分类,学习,未分类,,,,已完成
2017-04-13 16:30,150,未分类,杂事,未分类,,,,已完成
2017-04-13 19:00,150,未分类,娱乐,未分类,,,,已完成
2017-04-13 21:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-13 22:00,60,未分类,学习,未分类,Python,,,已完成
2017-04-13 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-13 23:30,150,未分类,娱乐,未分类,看电影,,,已完成
2017-04-14 02:00,360,未分类,睡觉,未分类,,,,已完成
2017-04-14 08:00,30,未分类,杂事,未分类,,,,已完成
2017-04-14 08:30,60,未分类,娱乐,未分类,,,,已完成
2017-04-14 09:30,120,未分类,学习,未分类,,,,已完成
2017-04-14 11:30,90,未分类,运动,未分类,,,,已完成
2017-04-14 13:00,30,未分类,学习,未分类,,,,已完成
2017-04-14 13:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-14 14:00,90,未分类,工作,未分类,,,,已完成
2017-04-14 15:30,30,未分类,学习,未分类,,,,已完成
2017-04-14 16:00,120,未分类,睡觉,未分类,午睡,,,已完成
2017-04-14 18:00,150,未分类,学习,未分类,,,,已完成
2017-04-14 20:30,150,未分类,学习,未分类,Python,,,已完成
2017-04-14 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-14 23:30,30,未分类,学习,未分类,,,,已完成
2017-04-15 00:00,120,未分类,娱乐,未分类,,,,已完成
2017-04-15 02:00,360,未分类,睡觉,未分类,,,,已完成
2017-04-15 08:00,150,未分类,学习,未分类,,,,已完成
2017-04-15 10:30,90,未分类,睡觉,未分类,,,,已完成
2017-04-15 12:00,60,未分类,浪费了,未分类,,,,已完成
2017-04-15 13:00,60,未分类,学习,未分类,,,,已完成
2017-04-15 14:00,60,未分类,浪费了,未分类,,,,已完成
2017-04-15 15:00,120,未分类,学习,未分类,,,,已完成
2017-04-15 17:00,330,未分类,娱乐,未分类,,,,已完成
2017-04-15 22:30,30,未分类,学习,未分类,,,,已完成
2017-04-15 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-15 23:30,30,未分类,学习,未分类,Python,,,已完成
2017-04-16 00:00,60,未分类,娱乐,未分类,看电影,,,已完成
2017-04-16 01:00,480,未分类,睡觉,未分类,,,,已完成
2017-04-16 09:00,120,未分类,娱乐,未分类,看电影,,,已完成
2017-04-16 11:00,120,未分类,睡觉,未分类,,,,已完成
2017-04-16 13:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-16 13:30,90,未分类,运动,未分类,,,,已完成
2017-04-16 15:00,480,未分类,娱乐,未分类,,,,已完成
2017-04-16 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-16 23:30,30,未分类,学习,未分类,,,,已完成
2017-04-17 00:00,120,未分类,娱乐,未分类,,,,已完成
2017-04-17 02:00,360,未分类,睡觉,未分类,,,,已完成
2017-04-17 08:00,30,未分类,杂事,未分类,,,,已完成
2017-04-17 08:30,600,未分类,工作,未分类,,,,已完成
2017-04-17 18:30,90,未分类,运动,未分类,,,,已完成
2017-04-17 20:00,180,未分类,娱乐,未分类,,,,已完成
2017-04-17 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-17 23:30,30,未分类,学习,未分类,,,,已完成
2017-04-18 00:00,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-18 01:30,390,未分类,睡觉,未分类,,,,已完成
2017-04-18 08:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-18 08:30,60,未分类,学习,未分类,,,,已完成
2017-04-18 09:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-18 10:00,30,未分类,工作,未分类,,,,已完成
2017-04-18 10:30,90,未分类,杂事,未分类,,,,已完成
2017-04-18 12:00,90,未分类,睡觉,未分类,午睡,,,已完成
2017-04-18 13:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-18 14:00,180,未分类,学习,未分类,,,,已完成
2017-04-18 17:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-18 17:30,60,未分类,学习,未分类,Python,,,已完成
2017-04-18 18:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-18 19:00,210,未分类,学习,未分类,Python,,,已完成
2017-04-18 22:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-18 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-18 23:30,30,未分类,学习,未分类,Python,,,已完成
2017-04-19 00:00,120,未分类,娱乐,未分类,,,,已完成
2017-04-19 02:00,330,未分类,睡觉,未分类,,,,已完成
2017-04-19 07:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-19 08:00,30,未分类,娱乐,未分类,,,,已完成
2017-04-19 08:30,90,未分类,工作,未分类,,,,已完成
2017-04-19 10:00,30,未分类,浪费了,未分类,,,,已完成
2017-04-19 10:30,60,未分类,学习,未分类,,,,已完成
2017-04-19 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-19 12:00,60,未分类,运动,未分类,,,,已完成
2017-04-19 13:00,30,未分类,杂事,未分类,,,,已完成
2017-04-19 13:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-19 14:00,60,未分类,睡觉,未分类,,,,已完成
2017-04-19 15:00,120,未分类,工作,未分类,,,,已完成
2017-04-19 17:00,60,未分类,杂事,未分类,,,,已完成
2017-04-19 18:00,150,未分类,学习,未分类,,,,已完成
2017-04-19 20:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-19 21:00,120,未分类,学习,未分类,,,,已完成
2017-04-19 23:00,60,未分类,杂事,未分类,,,,已完成
2017-04-20 00:00,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-20 01:30,360,未分类,睡觉,未分类,,,,已完成
2017-04-20 07:30,30,未分类,杂事,未分类,,,,已完成
2017-04-20 08:00,60,未分类,浪费了,未分类,,,,已完成
2017-04-20 09:00,210,未分类,学习,未分类,Python,,,已完成
2017-04-20 12:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-20 13:00,30,未分类,学习,未分类,Python,,,已完成
2017-04-20 13:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-20 14:00,30,未分类,工作,未分类,,,,已完成
2017-04-20 14:30,60,未分类,学习,未分类,Python,,,已完成
2017-04-20 15:30,120,未分类,工作,未分类,,,,已完成
2017-04-20 17:30,30,未分类,杂事,未分类,,,,已完成
2017-04-20 18:00,60,未分类,睡觉,未分类,,,,已完成
2017-04-20 19:00,120,未分类,工作,未分类,,,,已完成
2017-04-20 21:00,30,未分类,娱乐,未分类,,,,已完成
2017-04-20 21:30,60,未分类,工作,未分类,,,,已完成
2017-04-20 22:30,30,未分类,娱乐,未分类,看电影,,,已完成
2017-04-20 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-20 23:30,30,未分类,学习,未分类,,,,已完成
2017-04-21 00:00,120,未分类,娱乐,未分类,看电影,,,已完成
2017-04-21 02:00,390,未分类,睡觉,未分类,,,,已完成
2017-04-21 08:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-21 09:00,30,未分类,学习,未分类,,,,已完成
2017-04-21 09:30,120,未分类,工作,未分类,,,,已完成
2017-04-21 11:30,90,未分类,运动,未分类,,,,已完成
2017-04-21 13:00,60,未分类,娱乐,未分类,,,,已完成
2017-04-21 14:00,240,未分类,工作,未分类,,,,已完成
2017-04-21 18:00,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-21 19:30,60,未分类,睡觉,未分类,,,,已完成
2017-04-21 20:30,150,未分类,学习,未分类,,,,已完成
2017-04-21 23:00,60,未分类,杂事,未分类,,,,已完成
2017-04-22 00:00,60,未分类,浪费了,未分类,,,,已完成
2017-04-22 01:00,360,未分类,睡觉,未分类,,,,已完成
2017-04-22 07:00,30,未分类,杂事,未分类,,,,已完成
2017-04-22 07:30,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-22 09:00,150,未分类,工作,未分类,,,,已完成
2017-04-22 11:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-22 12:00,120,未分类,睡觉,未分类,午睡,,,已完成
2017-04-22 14:00,30,未分类,浪费了,未分类,,,,已完成
2017-04-22 14:30,60,未分类,工作,未分类,,,,已完成
2017-04-22 15:30,120,未分类,娱乐,未分类,,,,已完成
2017-04-22 17:30,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-22 19:00,60,未分类,睡觉,未分类,,,,已完成
2017-04-22 20:00,210,未分类,工作,未分类,,,,已完成
2017-04-22 23:30,180,未分类,娱乐,未分类,看电影,,,已完成
2017-04-23 02:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-23 03:00,300,未分类,睡觉,未分类,,,,已完成
2017-04-23 08:00,60,未分类,娱乐,未分类,看电影,,,已完成
2017-04-23 09:00,120,未分类,工作,未分类,,,,已完成
2017-04-23 11:00,90,未分类,运动,未分类,,,,已完成
2017-04-23 12:30,60,未分类,工作,未分类,,,,已完成
2017-04-23 13:30,60,未分类,睡觉,未分类,,,,已完成
2017-04-23 14:30,180,未分类,工作,未分类,,,,已完成
2017-04-23 17:30,60,未分类,娱乐,未分类,看电影,,,已完成
2017-04-23 18:30,300,未分类,工作,未分类,,,,已完成
2017-04-23 23:30,60,未分类,杂事,未分类,,,,已完成
2017-04-24 00:30,420,未分类,睡觉,未分类,,,,已完成
2017-04-24 07:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-24 08:00,60,未分类,娱乐,未分类,,,,已完成
2017-04-24 09:00,60,未分类,工作,未分类,,,,已完成
2017-04-24 10:00,90,未分类,学习,未分类,,,,已完成
2017-04-24 11:30,120,未分类,运动,未分类,,,,已完成
2017-04-24 13:30,30,未分类,学习,未分类,,,,已完成
2017-04-24 14:00,150,未分类,工作,未分类,,,,已完成
2017-04-24 16:30,60,未分类,娱乐,未分类,看电影,,,已完成
2017-04-24 17:30,90,未分类,睡觉,未分类,,,,已完成
2017-04-24 19:00,30,未分类,娱乐,未分类,,,,已完成
2017-04-24 19:30,30,未分类,浪费了,未分类,,,,已完成
2017-04-24 20:00,60,未分类,学习,未分类,,,,已完成
2017-04-24 21:00,30,未分类,娱乐,未分类,,,,已完成
2017-04-24 21:30,90,未分类,学习,未分类,,,,已完成
2017-04-24 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-24 23:30,120,未分类,浪费了,未分类,,,,已完成
2017-04-25 01:30,390,未分类,睡觉,未分类,,,,已完成
2017-04-25 08:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-25 08:30,120,未分类,学习,未分类,,,,已完成
2017-04-25 10:30,90,未分类,工作,未分类,,,,已完成
2017-04-25 12:00,30,未分类,浪费了,未分类,,,,已完成
2017-04-25 12:30,120,未分类,睡觉,未分类,,,,已完成
2017-04-25 14:30,30,未分类,学习,未分类,,,,已完成
2017-04-25 15:00,120,未分类,工作,未分类,,,,已完成
2017-04-25 17:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-25 17:30,30,未分类,杂事,未分类,,,,已完成
2017-04-25 18:00,60,未分类,浪费了,未分类,,,,已完成
2017-04-25 19:00,240,未分类,学习,未分类,,,,已完成
2017-04-25 23:00,60,未分类,杂事,未分类,,,,已完成
2017-04-26 00:00,30,未分类,浪费了,未分类,,,,已完成
2017-04-26 00:30,420,未分类,睡觉,未分类,,,,已完成
2017-04-26 07:30,60,未分类,杂事,未分类,吃饭,,,已完成
2017-04-26 08:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-26 09:00,150,未分类,学习,未分类,,,,已完成
2017-04-26 11:30,90,未分类,运动,未分类,,,,已完成
2017-04-26 13:00,30,未分类,杂事,未分类,,,,已完成
2017-04-26 13:30,180,未分类,工作,未分类,,,,已完成
2017-04-26 16:30,30,未分类,杂事,未分类,,,,已完成
2017-04-26 17:00,30,未分类,浪费了,未分类,,,,已完成
2017-04-26 17:30,30,未分类,学习,未分类,,,,已完成
2017-04-26 18:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-26 18:30,30,未分类,娱乐,未分类,,,,已完成
2017-04-26 19:00,90,未分类,学习,未分类,,,,已完成
2017-04-26 20:30,30,未分类,睡觉,未分类,,,,已完成
2017-04-26 21:00,30,未分类,娱乐,未分类,,,,已完成
2017-04-26 21:30,90,未分类,学习,未分类,,,,已完成
2017-04-26 23:00,90,未分类,杂事,未分类,,,,已完成
2017-04-27 00:30,90,未分类,浪费了,未分类,,,,已完成
2017-04-27 02:00,360,未分类,睡觉,未分类,,,,已完成
2017-04-27 08:00,120,未分类,杂事,未分类,,验光,,已完成
2017-04-27 10:00,120,未分类,杂事,未分类,,,,已完成
2017-04-27 12:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-27 12:30,90,未分类,睡觉,未分类,,,,已完成
2017-04-27 14:00,30,未分类,杂事,未分类,,,,已完成
2017-04-27 14:30,150,未分类,学习,未分类,,,,已完成
2017-04-27 17:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-27 17:30,90,未分类,学习,未分类,,,,已完成
2017-04-27 19:00,60,未分类,娱乐,未分类,,,,已完成
2017-04-27 20:00,180,未分类,学习,未分类,,,,已完成
2017-04-27 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-27 23:30,30,未分类,学习,未分类,,,,已完成
2017-04-28 00:00,60,未分类,浪费了,未分类,,,,已完成
2017-04-28 01:00,390,未分类,睡觉,未分类,,,,已完成
2017-04-28 07:30,30,未分类,杂事,未分类,,,,已完成
2017-04-28 08:00,180,未分类,娱乐,未分类,看电影,,,已完成
2017-04-28 11:00,30,未分类,杂事,未分类,,,,已完成
2017-04-28 11:30,90,未分类,运动,未分类,,,,已完成
2017-04-28 13:00,30,未分类,浪费了,未分类,,,,已完成
2017-04-28 13:30,150,未分类,学习,未分类,,,,已完成
2017-04-28 16:00,90,未分类,睡觉,未分类,,,,已完成
2017-04-28 17:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-28 18:00,300,未分类,娱乐,未分类,,,,已完成
2017-04-28 23:00,30,未分类,杂事,未分类,,,,已完成
2017-04-28 23:30,30,未分类,运动,未分类,,,,已完成
2017-04-29 00:00,60,未分类,浪费了,未分类,,,,已完成
2017-04-29 01:00,360,未分类,睡觉,未分类,,,,已完成
2017-04-29 07:00,150,未分类,娱乐,未分类,,,,已完成
2017-04-29 09:30,210,未分类,杂事,未分类,,,,已完成
2017-04-29 13:00,150,未分类,睡觉,未分类,,,,已完成
2017-04-29 15:30,30,未分类,杂事,未分类,,,,已完成
2017-04-29 16:00,480,未分类,娱乐,未分类,,,,已完成
2017-04-30 00:00,90,未分类,杂事,未分类,,,,已完成
2017-04-30 01:30,360,未分类,睡觉,未分类,,,,已完成
2017-04-30 07:30,60,未分类,杂事,未分类,,,,已完成
2017-04-30 08:30,60,未分类,娱乐,未分类,看电影,,,已完成
2017-04-30 09:30,90,未分类,学习,未分类,,,,已完成
2017-04-30 11:00,90,未分类,运动,未分类,,,,已完成
2017-04-30 12:30,90,未分类,娱乐,未分类,看电影,,,已完成
2017-04-30 14:00,180,未分类,学习,未分类,,,,已完成
2017-04-30 17:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-04-30 17:30,90,未分类,学习,未分类,,,,已完成
2017-04-30 19:00,60,未分类,睡觉,未分类,,,,已完成
2017-04-30 20:00,90,未分类,浪费了,未分类,,,,已完成
2017-04-30 21:30,30,未分类,学习,未分类,,,,已完成
2017-04-30 22:00,60,未分类,学习,未分类,Python,,,已完成
2017-04-30 23:00,30,未分类,杂事,未分类,洗澡,,,已完成
2017-04-30 23:30,30,未分类,运动,未分类,,,,已完成
2017-05-01 00:00,60,未分类,浪费了,未分类,,,,已完成
2017-05-01 01:00,420,未分类,睡觉,未分类,,,,已完成
2017-05-01 08:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-05-01 08:30,30,未分类,浪费了,未分类,,,,已完成
2017-05-01 09:00,150,未分类,学习,未分类,,,,已完成
2017-05-01 11:30,90,未分类,运动,未分类,,,,已完成
2017-05-01 13:00,90,未分类,学习,未分类,,,,已完成
2017-05-01 14:30,30,未分类,娱乐,未分类,看电影,,,已完成
2017-05-01 15:00,30,未分类,浪费了,未分类,,,,已完成
2017-05-01 15:30,150,未分类,学习,未分类,,,,已完成
2017-05-01 18:00,60,未分类,睡觉,未分类,,,,已完成
2017-05-01 19:00,30,未分类,学习,未分类,Python,,,已完成
2017-05-01 19:30,30,未分类,浪费了,未分类,,,,已完成
2017-05-01 20:00,180,未分类,学习,未分类,Python,,,已完成
2017-05-01 23:00,30,未分类,杂事,未分类,,,,已完成
2017-05-01 23:30,30,未分类,阅读,未分类,,,,已完成
2017-05-02 00:00,60,未分类,浪费了,未分类,,,,已完成
2017-05-02 01:00,360,未分类,睡觉,未分类,,,,已完成
2017-05-02 07:00,60,未分类,运动,未分类,,,,已完成
2017-05-02 08:00,60,未分类,学习,未分类,,,,已完成
2017-05-02 09:00,60,未分类,杂事,未分类,,体检,,已完成
2017-05-02 10:00,30,未分类,杂事,未分类,,,,已完成
2017-05-02 10:30,60,未分类,睡觉,未分类,,,,已完成
2017-05-02 11:30,30,未分类,杂事,未分类,,,,已完成
2017-05-02 12:00,30,未分类,浪费了,未分类,,,,已完成
2017-05-02 12:30,60,未分类,学习,未分类,,,,已完成
2017-05-02 13:30,30,未分类,睡觉,未分类,,,,已完成
2017-05-02 14:00,30,未分类,娱乐,未分类,,,,已完成
2017-05-02 14:30,150,未分类,学习,未分类,,,,已完成
2017-05-02 17:00,30,未分类,浪费了,未分类,,,,已完成
2017-05-02 17:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-05-02 18:00,30,未分类,运动,未分类,,,,已完成
2017-05-02 18:30,30,未分类,工作,未分类,开会,,,已完成
2017-05-02 19:00,30,未分类,杂事,未分类,,,,已完成
2017-05-02 19:30,30,未分类,浪费了,未分类,,,,已完成
2017-05-02 20:00,60,未分类,学习,未分类,Python,,,已完成
2017-05-02 21:00,60,未分类,杂事,未分类,,,,已完成
2017-05-02 22:00,30,未分类,学习,未分类,,,,已完成
2017-05-02 22:30,60,未分类,杂事,未分类,,,,已完成
2017-05-02 23:30,30,未分类,学习,未分类,,,,已完成
2017-05-03 00:00,30,未分类,阅读,未分类,,,,已完成
2017-05-03 00:30,420,未分类,睡觉,未分类,,,,已完成
2017-05-03 07:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-05-03 08:00,30,未分类,娱乐,未分类,看电影,,,已完成
2017-05-03 08:30,90,未分类,学习,未分类,,,,已完成
2017-05-03 10:00,90,未分类,工作,未分类,,,,已完成
2017-05-03 11:30,30,未分类,杂事,未分类,,,,已完成
2017-05-03 12:00,60,未分类,运动,未分类,,,,已完成
2017-05-03 13:00,30,未分类,杂事,未分类,,,,已完成
2017-05-03 13:30,180,未分类,工作,未分类,,,,已完成
2017-05-03 16:30,30,未分类,杂事,未分类,,,,已完成
2017-05-03 17:00,30,未分类,浪费了,未分类,,,,已完成
2017-05-03 17:30,30,未分类,睡觉,未分类,,,,已完成
2017-05-03 18:00,90,未分类,娱乐,未分类,看电影,,,已完成
2017-05-03 19:30,60,未分类,娱乐,未分类,,,,已完成
2017-05-03 20:30,90,未分类,学习,未分类,,,,已完成
2017-05-03 22:00,30,未分类,工作,未分类,,,,已完成
2017-05-03 22:30,90,未分类,杂事,未分类,,,,已完成
2017-05-04 00:00,30,未分类,浪费了,未分类,,,,已完成
2017-05-04 00:30,360,未分类,睡觉,未分类,,,,已完成
2017-05-04 06:30,60,未分类,杂事,未分类,,,,已完成
2017-05-04 07:30,240,未分类,工作,未分类,,,,已完成
2017-05-04 11:30,90,未分类,运动,未分类,,,,已完成
2017-05-04 13:00,30,未分类,杂事,未分类,,,,已完成
2017-05-04 13:30,150,未分类,工作,未分类,,,,已完成
2017-05-04 16:00,60,未分类,学习,未分类,,,,已完成
2017-05-04 17:00,30,未分类,工作,未分类,,,,已完成
2017-05-04 17:30,30,未分类,娱乐,未分类,,,,已完成
2017-05-04 18:00,150,未分类,工作,未分类,,,,已完成
2017-05-04 20:30,60,未分类,娱乐,未分类,,,,已完成
2017-05-04 21:30,180,未分类,学习,未分类,,,,已完成
2017-05-05 00:30,330,未分类,睡觉,未分类,等车,,,已完成
2017-05-05 06:00,30,未分类,睡觉,未分类,,,,已完成
2017-05-05 06:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-05-05 07:00,90,未分类,娱乐,未分类,,,,已完成
2017-05-05 08:30,60,未分类,浪费了,未分类,,,,已完成
2017-05-05 09:30,30,未分类,杂事,未分类,,,,已完成
2017-05-05 10:00,90,未分类,工作,未分类,,,,已完成
2017-05-05 11:30,120,未分类,运动,未分类,,,,已完成
2017-05-05 13:30,120,未分类,娱乐,未分类,看电影,,,已完成
2017-05-05 15:30,30,未分类,浪费了,未分类,,,,已完成
2017-05-05 16:00,90,未分类,学习,未分类,Python,,,已完成
2017-05-05 17:30,60,未分类,杂事,未分类,吃饭,,,已完成
2017-05-05 18:30,30,未分类,娱乐,未分类,,,,已完成
2017-05-05 19:00,30,未分类,学习,未分类,Python,,,已完成
2017-05-05 19:30,30,未分类,娱乐,未分类,,,,已完成
2017-05-05 20:00,90,未分类,娱乐,未分类,看电影,,,已完成
2017-05-05 21:30,90,未分类,学习,未分类,Python,,,已完成
2017-05-05 23:00,30,未分类,运动,未分类,,,,已完成
2017-05-05 23:30,60,未分类,杂事,未分类,,,,已完成
2017-05-06 00:30,30,未分类,浪费了,未分类,,,,已完成
2017-05-06 01:00,390,未分类,睡觉,未分类,,,,已完成
2017-05-06 07:30,60,未分类,运动,未分类,,,,已完成
2017-05-06 08:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-05-06 09:00,30,未分类,浪费了,未分类,,,,已完成
2017-05-06 09:30,150,未分类,工作,未分类,,,,已完成
2017-05-06 12:00,60,未分类,娱乐,未分类,,,,已完成
2017-05-06 13:00,120,未分类,睡觉,未分类,,,,已完成
2017-05-06 15:00,60,未分类,浪费了,未分类,,,,已完成
2017-05-06 16:00,60,未分类,工作,未分类,,,,已完成
2017-05-06 17:00,60,未分类,杂事,未分类,吃饭,,,已完成
2017-05-06 18:00,90,未分类,运动,未分类,,,,已完成
2017-05-06 19:30,30,未分类,浪费了,未分类,,,,已完成
2017-05-06 20:00,120,未分类,娱乐,未分类,,,,已完成
2017-05-06 22:00,510,未分类,睡觉,未分类,,,,已完成
2017-05-07 06:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-05-07 07:00,270,未分类,娱乐,未分类,,,,已完成
2017-05-07 11:30,60,未分类,运动,未分类,,,,已完成
2017-05-07 12:30,60,未分类,工作,未分类,,,,已完成
2017-05-07 13:30,30,未分类,娱乐,未分类,,,,已完成
2017-05-07 14:00,30,未分类,运动,未分类,,,,已完成
2017-05-07 14:30,30,未分类,杂事,未分类,,,,已完成
2017-05-07 15:00,480,未分类,娱乐,未分类,,,,已完成
2017-05-07 23:00,60,未分类,杂事,未分类,,,,已完成
2017-05-08 00:00,60,未分类,浪费了,未分类,,,,已完成
2017-05-08 01:00,360,未分类,睡觉,未分类,,,,已完成
2017-05-08 07:00,30,未分类,杂事,未分类,,,,已完成
2017-05-08 07:30,30,未分类,浪费了,未分类,,,,已完成
2017-05-08 08:00,90,未分类,学习,未分类,Python,,,已完成
2017-05-08 09:30,30,未分类,浪费了,未分类,,,,已完成
